##
## Configuration for Draw.io CSV Import
#
# label: %name%<br><i style="color:gray;">%summary%</i><br><small>Updated: %upload_time%<br>Depth: %depth%</small>
# style: shape=rectangle;html=1;whiteSpace=wrap;rounded=1;fillColor=%color%;strokeColor=#000000;strokeWidth=1;fontColor=#000000;
# connect: {"from": "target_node", "to": "source_name", "style":"endArrow=classic;endFill=1;html=1;fontSize=10;"}
# identity: pythonpackage_id
# namespace: csvimport-
# layout: auto
# nodespacing: 30
# edgespacing: 40
#
## ---- CSV starts below ----
pythonpackage_id,name,summary,upload_time,depth,color,source_name,target_node
jupyterlite-pyodide-kernel,jupyterlite-pyodide-kernel,Python kernel for JupyterLite powered by Pyodide,2025-06-05T10:12:08,3,#FF33A8,jupyterlite-pyodide-kernel,jupyter-server-mathjax
jupyterlite-pyodide-kernel,jupyterlite-pyodide-kernel,Python kernel for JupyterLite powered by Pyodide,2025-06-05T10:12:08,3,#FF33A8,jupyterlite-pyodide-kernel,jupyterlab-language-pack-fr-fr
jupyterlite-pyodide-kernel,jupyterlite-pyodide-kernel,Python kernel for JupyterLite powered by Pyodide,2025-06-05T10:12:08,3,#FF33A8,jupyterlite-pyodide-kernel,jupyterlab-language-pack-zh-cn
jupyterlite-pyodide-kernel,jupyterlite-pyodide-kernel,Python kernel for JupyterLite powered by Pyodide,2025-06-05T10:12:08,3,#FF33A8,jupyterlite-pyodide-kernel,libarchive-c
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,typing_extensions
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,cython-lint
cython-lint,cython-lint,Lint Cython files,2022-11-24T17:28:55,3,#FF33A8,cython-lint,tokenize-rt
cython-lint,cython-lint,Lint Cython files,2022-11-24T17:28:55,3,#FF33A8,cython-lint,tomli
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,rich-click
rich-click,rich-click,Format click help output nicely with rich,2025-05-19T21:33:04,3,#FF33A8,rich-click,rich
rich-click,rich-click,Format click help output nicely with rich,2025-05-19T21:33:04,3,#FF33A8,rich-click,rich-codex
rich-click,rich-click,Format click help output nicely with rich,2025-05-19T21:33:04,3,#FF33A8,rich-click,markdown_include
scipy,scipy,Fundamental algorithms for scientific computing in Python,2022-10-20T00:42:06,2,#33FF57,scipy,doit
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,pandas
pandas,pandas,"Powerful data structures for data analysis, time series, and statistics",2025-06-05T03:25:48,2,#33FF57,pandas,python-dateutil
pandas,pandas,"Powerful data structures for data analysis, time series, and statistics",2025-06-05T03:25:48,2,#33FF57,pandas,pytz
pandas,pandas,"Powerful data structures for data analysis, time series, and statistics",2025-06-05T03:25:48,2,#33FF57,pandas,tzdata
pandas,pandas,"Powerful data structures for data analysis, time series, and statistics",2025-06-05T03:25:48,2,#33FF57,pandas,sqlalchemy
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,greenlet
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,pyodbc
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,pymssql
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,mysqlclient
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,mysql-connector-python
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,mariadb
